poet_id,poem_id,v_order,poem_text,metre,metre_2
5,2693,8,ز سودای تو می‌ترسم که پیوندد به من سودا,مفاعیلن مفاعیلن مفاعیلن مفاعیلن,U---U---U---U---
4,1741,53,همه کس فرستید و آگه کنید,فعولن فعولن فعولن فعل,U--U--U--U-
52,49177,28,نیارد بدان آشیان شد فراز,فعولن فعولن فعولن فعل,U--U--U--U-
6,8888,106,به کوه و دشت می‌شد راه و بی‌راه,مفاعیلن مفاعیلن فعولن,U---U---U--
5,8738,76,تا که تنها آن بیابان را برد,فاعلاتن فاعلاتن فاعلن,-U---U---U-
4,1804,70,گهی تازه‌روی و زمانی دژم,فعولن فعولن فعولن فعل,U--U--U--U-
10,49352,33,بد و نیک اندر آن جهان نبود,فعلاتن مفاعلن فعلن,UU--U-U-UU-
34,24283,94,ز موی کمانچه نوایی چو موی,فعولن فعولن فعولن فعل,U--U--U--U-
13,13987,21,زین است تراکیب نبات و حیوان پاک,مفعول مفاعیل مفاعیل فعولن,--UU--UU--UU--
10,49620,89,آدمی همچو مرغ با پر نیست,فعلاتن مفاعلن فعلن,UU--U-U-UU-
10,49448,218,همتش جمله را تبرا داد,فعلاتن مفاعلن فعلن,UU--U-U-UU-
6,8893,164,به اقصای مداین کرده پرواز,مفاعیلن مفاعیلن فعولن,U---U---U--
9,11947,21,گر نبودی نقد چندینی غمم,فاعلاتن فاعلاتن فاعلن,-U---U---U-
5,8768,30,گفت صوفی هی هی ای قواد عاق,فاعلاتن فاعلاتن فاعلن,-U---U---U-
5,3794,28,آب یتیمان بود از چشم تر,مفتعلن مفتعلن فاعلن,-UU--UU--U-
10,49735,51,دل براین چار طبع چرخ منه,فعلاتن مفاعلن فعلن,UU--U-U-UU-
52,49152,107,همه لشکر و پیل و بالای خویش,فعولن فعولن فعولن فعل,U--U--U--U-
9,36582,226,عین در آب عکسی بود بشناخت,مفاعیلن مفاعیلن فعولن,U---U---U--
4,1556,165,فرستاد کس نزد آهنگران,فعولن فعولن فعولن فعل,U--U--U--U-
9,36443,57,خدابین جملگی جانان شناسد,مفاعیلن مفاعیلن فعولن,U---U---U--
9,33227,18,ز ناپیدائی او جمله پیدا,مفاعیلن مفاعیلن فعولن,U---U---U--
5,4463,9,دور کن این وحوش را تا نکشند هوش را,مفتعلن مفاعلن مفتعلن مفاعلن,-UU-U-U--UU-U-U-
5,30065,1,تا رهبر تو طبع بدآموز بود,مفعول مفاعیل مفاعیل فعل,--UU--UU--UU-
6,9227,64,گهی نرم زد زخمه و گاه تیز,فعولن فعولن فعولن فعل,U--U--U--U-
9,11841,42,ایمن ز فضولی من و ما,مفعول مفاعلن فعولن,--UU-U-U--
24,65700,49,بانگ قدوس و نعره سبوح,فعلاتن مفاعلن فعلن,UU--U-U-UU-
18,16066,44,نیک بختا انوری از قربت طغرل تکین,فاعلاتن فاعلاتن فاعلاتن فاعلن,-U---U---U---U-
9,36567,679,منم چون بحردر دریای جانت,مفاعیلن مفاعیلن فعولن,U---U---U--
34,26364,10,دردست من اوفتاده باید,مفعول مفاعلن فعولن,--UU-U-U--
10,49681,21,دین بی‌لطف شاخ بی‌بارست,فعلاتن مفاعلن فعلن,UU--U-U-UU-
6,8875,6,سخن را دست بافی تازه در پوش,مفاعیلن مفاعیلن فعولن,U---U---U--
10,49689,125,ای امیر بلند پایه چو مهر,فعلاتن مفاعلن فعلن,UU--U-U-UU-
7,9551,5,آن که گویند به عمری شب قدری باشد,فعلاتن فعلاتن فعلاتن فعلن,UU--UU--UU--UU-
34,24269,72,روزی، نه من و تو یار بودیم؟,مفعول مفاعلن فعولن,--UU-U-U--
5,5412,3,چون ز پیش رشته‌ای در لعل چون آتش بتافت,فاعلاتن فاعلاتن فاعلاتن فاعلن,-U---U---U---U-
9,36568,233,گهی من گویم و بر چرخ گردان,مفاعیلن مفاعیلن فعولن,U---U---U--
9,37085,18,لیک قدر خود ندانستم دمی,فاعلاتن فاعلاتن فاعلن,-U---U---U-
8,10870,29,ندیدیم آسایش از روزگار,فعولن فعولن فعولن فعل,U--U--U--U-
10,27364,4,قسم تو از آن گلوخ گردیست,مفعول مفاعلن فعولن,--UU-U-U--
10,27368,4,ناکام کند روی سوی قبلهٔ زردشت,مفعول مفاعیل مفاعیل فعولن,--UU--UU--UU--
4,1610,52,به روی زمین بر فگنده نگون,فعولن فعولن فعولن فعل,U--U--U--U-
19,18127,2,فغان و گریه و زاری همین بود,مفاعیلن مفاعیلن فعولن,U---U---U--
4,1930,5,یکی نامه بنوشت با درد و خشم,فعولن فعولن فعولن فعل,U--U--U--U-
5,7968,28,روی آوردم به پیگار درون,فاعلاتن فاعلاتن فاعلن,-U---U---U-
6,9245,154,فروشست ازو گرد آلودگان,فعولن فعولن فعولن فعل,U--U--U--U-
9,33238,336,غلامی در رسید الحق دلفروز,مفاعیلن مفاعیلن فعولن,U---U---U--
